Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
tex\objects\obj15\obj0733.dtx;0;DTX_VERSION_LT2;16;16;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;1;BPP_32;0;0;0;0.0;0;EnvMap Tex\EnvMap\EnvMap029.dtx;
tex\prefabs\cars\chevnova\chev_dboad2.dtx;0;DTX_VERSION_LT2;256;64;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chev_dboad2b.dtx;0;DTX_VERSION_LT2;256;64;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chev_engn1.dtx;0;DTX_VERSION_LT2;256;256;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chev_engn2.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chev_engn3.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chev_engn4.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chev_hood2.dtx;0;DTX_VERSION_LT2;256;256;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chev_trunk1.dtx;0;DTX_VERSION_LT2;256;256;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chev_trunk2.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chev_trunk3.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_bk_a.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_bk_ab.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_bmpf.dtx;0;DTX_VERSION_LT2;256;64;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_bmps.dtx;0;DTX_VERSION_LT2;64;64;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_cmn1.dtx;0;DTX_VERSION_LT2;128;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_cmn2.dtx;0;DTX_VERSION_LT2;128;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_cmn3.dtx;0;DTX_VERSION_LT2;64;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
