Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
chars\skins\baroness_winter_head.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\baron_action.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\baron_action_head.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32;0;0;0;0.0;0;;
chars\skins\baron_formal.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\baron_formal_head.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32;0;0;0;0.0;0;;
chars\skins\butler_action.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\butler_action_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\cosmonaut_action.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\cosmonaut_action_blue.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\cosmonaut_action_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\cosmonaut_action_head1.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\cosmonaut_action_head2.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\cosmonaut_action_head3.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\dockguard_action.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\dockguard_action_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\dockguard_action_head1.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\dockguard_action_head2.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\dockguard_style2.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\dockguard_style2_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\doctor_action.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\doctor_action_head.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\dog_action.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\eliteasian_action.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32;0;0;0;0.0;0;;
